"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"Georgia : industrial","number of customers","ELEC.CUSTOMERS.GA-IND.M",15974,15676,15779,15838,16015,16195,16272,16206,16090,15833,15885,15664,15195,15173,15196,15352,15585,15807,15877,15831,15616,15412,15468,15331,15137,15082,15186,15437,15483,16046,16325,16055,15879,15645,15595,15854,15843,15708,15972,16124,16338,16603,16652,16609,16440,16260,16169,16139,17304,16100,17183,17499,17722,17823,18006,16819,17476,17379,17353,17326,18389,18481,18436,18754,19129,19349,19483,19546,19329,19019,18945,18887,19885,19840,19936,20173,20516,19660,20975,20973,20697,20420,20249,20273,20297,20201,20327,20570,20790,21189,21195,21160,21004,20618,20478,20426,21285,21422,21377,21398,22144,22199,22236,22058,21961,21769,21765,21719,22631,22510,22790,23026,23427,23656,23706,23651,23217,23005,22897,22807,22671,22554,22625,22813,23540,23698,23748,23646,23147,22888,22792,22664,23070,22965,23005,23263,23783,24072,24276,24239,24007,23456,23261,23062,19233,19179,19347,19348,19656,19871,19949,19861,19766,23823,19286
"Georgia : transportation","number of customers","ELEC.CUSTOMERS.GA-TRA.M",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Georgia : other","number of customers","ELEC.CUSTOMERS.GA-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland","number of customers","ELEC.CUSTOMERS.MD-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : all sectors","number of customers","ELEC.CUSTOMERS.MD-ALL.M",2424336,2426567,2428552,2428719,2427328,2427225,2428237,2428319,2429038,2430183,2431592,2434169,2437245,2437333,2438436,2438307,2439596,2439508,2438278,2438616,2439992,2441079,2443290,2446026,2450559,2452574,2453617,2452803,2451284,2451088,2452274,2453575,2453699,2454833,2455783,2458717,2462092,2463436,2463636,2463219,2458077,2461546,2460604,2460981,2461129,2461639,2462436,2464246,2468247,2466304,2468586,2467641,2466306,2465555,2465787,2470022,2471484,2470393,2468426,2468427,2471527,2472380,2474900,2474923,2474470,2472113,2471678,2473352,2476568,2476824,2478098,2482063,2487869,2489429,2490369,2491245,2492020,2491021,2490386,2489471,2491858,2493763,2496855,2501031,2474151,2498488,2509299,2514681,2512160,2513253,2517197,2518561,2519478,2522534,2525623,2537347,2538333,2542011,2543164,2543312,2543953,2545151,2547013,2551021,2551770,2553767,2556451,2560834,2564281,2566423,2570372,2570574,2572584,2573750,2575803,2577962,2578981,2579442,2582760,2586010,2588165,2589715,2590644,2591258,2592211,2593589,2594981,2597695,2598210,2600462,2603298,2605577,2608994,2610941,2612278,2613443,2615259,2615336,2618392,2618992,2621576,2623023,2625428,2627997,2631616,2633247,2636245,2637800,2641113,2644164,2648047,2650563,2650980,2664313,2655304
"Maryland : residential","number of customers","ELEC.CUSTOMERS.MD-RES.M",2174803,2176925,2179012,2178925,2177237,2177177,2177963,2178072,2178667,2179861,2181091,2183400,2186502,2186545,2187322,2187292,2188480,2188271,2186991,2186970,2188196,2189177,2191224,2193715,2197768,2199749,2200847,2200092,2198496,2198313,2199197,2200573,2200593,2201445,2202405,2204937,2208174,2209650,2209684,2209284,2208261,2207457,2206483,2206470,2206652,2207022,2207746,2209280,2212862,2210895,2212981,2211608,2210128,2209342,2209809,2213960,2215413,2214479,2212669,2213289,2215708,2216492,2218811,2218920,2218501,2216190,2215452,2217460,2220565,2221009,2222136,2226117,2231054,2232512,2233660,2234298,2235006,2234027,2233253,2232571,2234770,2236252,2239200,2242946,2220258,2241778,2251038,2256112,2253858,2254665,2259012,2259975,2260720,2264171,2267375,2277726,2279268,2282975,2283479,2283830,2284086,2285292,2287004,2291171,2292159,2293762,2296315,2300273,2303479,2305450,2309054,2309536,2310479,2311963,2313799,2315947,2317034,2317486,2320864,2323159,2325842,2327386,2328243,2328851,2329127,2330877,2332121,2334644,2334820,2337029,2339731,2341515,2344416,2346397,2347651,2348872,2350106,2350355,2353041,2354066,2356062,2357782,2359653,2362008,2366886,2368493,2370695,2373368,2376330,2379431,2382816,2384749,2385969,2398446,2390097
"Maryland : commercial","number of customers","ELEC.CUSTOMERS.MD-COM.M",240705,240974,240545,241046,241393,241211,241231,241608,241888,241751,241921,241995,241774,241924,242546,242274,242362,242484,242513,242853,243020,243116,243276,243533,244108,244135,243905,244031,244103,243974,244306,244236,244344,244607,244573,244830,245007,244875,245200,245188,241128,245271,245312,245586,245557,245621,245504,245769,246564,246585,246766,247192,245983,247398,247149,247231,247209,247076,246931,246312,247018,247080,247294,247206,247173,247131,247424,247117,247225,247024,247166,247161,248038,248125,247947,248180,248246,248227,248352,248126,248299,248695,248844,249269,245110,247913,249451,249758,249494,249760,249373,249760,249665,249620,249466,250794,250251,250235,250848,250649,251120,251024,251175,251007,250780,251157,251287,251706,252051,252214,252555,252291,253325,253031,253247,253253,253181,253202,253153,254079,253530,253538,253610,253609,254270,253916,254060,254247,254566,254616,254750,255238,255664,255622,255701,255643,256201,256036,256395,255995,256554,256314,256824,257028,255934,255953,256723,255632,255965,255925,256403,256961,256196,256911,256393
"Maryland : industrial","number of customers","ELEC.CUSTOMERS.MD-IND.M",8823,8663,8990,8743,8693,8832,9038,8634,8478,8566,8575,8769,8964,8859,8563,8736,8749,8748,8769,8788,8771,8781,8785,8773,8678,8685,8860,8675,8680,8796,8766,8761,8757,8776,8800,8945,8906,8906,8747,8742,8683,8813,8804,8920,8915,8991,9181,9192,8816,8819,8834,8836,10190,8810,8824,8826,8857,8833,8821,8821,8796,8803,8790,8792,8791,8787,8797,8770,8773,8786,8791,8780,8772,8787,8757,8762,8763,8762,8776,8769,8784,8811,8806,8811,8778,8792,8805,8806,8803,8823,8807,8821,9088,8738,8777,8822,8809,8796,8832,8828,8742,8830,8829,8838,8826,8843,8844,8850,8746,8754,8758,8742,8775,8751,8752,8757,8761,8749,8738,8767,8788,8786,8786,8793,8809,8791,8795,8799,8819,8812,8812,8819,8909,8917,8921,8923,8947,8940,8951,8926,8955,8922,8946,8956,8791,8796,8822,8795,8813,8803,8823,8848,8810,8951,8809
"Maryland : transportation","number of customers","ELEC.CUSTOMERS.MD-TRA.M",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Maryland : other","number of customers","ELEC.CUSTOMERS.MD-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina","number of customers","ELEC.CUSTOMERS.NC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina : all sectors","number of customers","ELEC.CUSTOMERS.NC-ALL.M",4775067,4782059,4786631,4820248,4796496,4801893,4810056,4816389,4829493,4827152,4821292,4833479,4829560,4832345,4832245,4833651,4837308,4842544,4835029,4837148,4839757,4841620,4843953,4849124,4811046,4814774,4818720,4819424,4821151,4849714,4866912,4861462,4860673,4862456,4862443,4845141,4841523,4842477,4845320,4847105,4844955,4855076,4859401,4862821,4893191,4860621,4862655,4874030,4871779,4878016,4883641,4885919,4890585,4893982,4898156,4901937,4901493,4902948,4905220,4906903,4908150,4912683,4917740,4922337,4923980,4929445,4935603,4942819,4944247,4948401,4953579,4957394,4933999,4938534,4940556,4942464,4946683,4959567,4979928,4989822,4992787,4998371,5003566,5009725,4983633,4991136,4996346,4997687,5002093,5009287,5016216,5021473,5026563,5030277,5032269,5039118,5072880,5081449,5085994,5091469,5096206,5103972,5110270,5119647,5122082,5126017,5127912,5136412,5143296,5143972,5160488,5159248,5171245,5178967,5185939,5192775,5193623,5200670,5206968,5211350,5220354,5217539,5226743,5233133,5240029,5249772,5251336,5265804,5268828,5277753,5283138,5290908,5295071,5303512,5308788,5315688,5324819,5339800,5343031,5349948,5354707,5360065,5368334,5372023,5404713,5406524,5425335,5429088,5437499,5454231,5467047,5479834,5487818,5448103,5496128
"North Carolina : residential","number of customers","ELEC.CUSTOMERS.NC-RES.M",4120654,4127567,4131469,4160240,4139812,4143736,4150959,4157034,4158146,4159713,4155450,4166723,4163536,4166207,4166263,4166764,4170187,4174070,4178344,4180840,4182018,4184137,4186657,4190949,4159787,4163443,4166235,4166133,4168187,4192498,4207557,4203917,4202440,4204202,4204050,4187958,4188944,4189855,4191578,4192825,4191179,4199144,4203168,4205617,4229310,4205168,4207221,4218760,4214434,4218437,4222935,4224801,4227428,4230422,4234119,4237623,4236983,4237966,4240171,4241701,4246463,4250670,4254463,4257575,4260275,4264895,4270143,4276228,4277532,4281169,4286243,4290515,4272972,4276685,4278049,4278875,4282112,4295929,4311537,4320426,4323167,4328505,4333905,4339529,4316761,4324518,4327436,4328222,4331618,4337490,4335061,4339723,4344017,4347967,4350576,4356942,4395598,4402666,4406254,4410884,4414400,4421008,4426531,4434451,4437007,4440423,4442469,4450656,4456742,4457789,4471491,4471464,4480678,4487533,4493681,4499910,4500701,4506786,4512579,4517076,4524579,4522175,4529401,4534341,4540016,4549249,4549824,4563047,4562100,4570595,4576032,4583644,4584651,4592680,4596755,4602713,4610067,4624944,4626972,4633660,4637941,4642493,4647034,4650356,4684573,4685952,4700823,4708586,4717065,4731682,4743323,4755021,4762262,4727058,4769772
"North Carolina : commercial","number of customers","ELEC.CUSTOMERS.NC-COM.M",643737,643870,644517,649364,646016,647458,648239,648130,659946,656081,654408,655313,654678,654811,654659,655548,655723,657011,645208,644838,646350,646144,645964,646879,640245,640338,641494,642265,641970,646105,648205,646472,647219,647300,647459,646202,641930,642011,643105,643629,643113,645279,645579,646584,653161,644914,644941,644852,646838,649290,650254,650657,652675,653080,653535,654034,654147,654647,654739,654888,651422,651758,653028,654479,653379,654191,655098,656267,656440,657003,657127,656699,650707,651541,652194,653246,654178,653370,657943,658952,659205,659507,659332,659876,656594,656373,658653,659176,660164,661436,670797,671409,672243,672050,671463,671960,667218,668714,669690,670541,671691,672838,673614,675110,675048,675596,675454,675780,676553,676209,678965,677741,680472,681308,682133,682754,682879,683864,684384,684295,685778,685419,687377,688806,689921,690401,691391,692640,696696,697152,697126,697303,700555,701014,702206,703132,704840,704918,706104,706350,706858,707725,711478,711874,710441,710899,714819,710817,710697,712769,713938,715040,715804,711201,716699
"North Carolina : industrial","number of customers","ELEC.CUSTOMERS.NC-IND.M",10676,10622,10645,10643,10667,10698,10857,11224,11400,11357,11433,11442,11345,11326,11322,11338,11397,11462,11476,11469,11388,11338,11331,11295,11006,10985,10983,11018,10986,11103,11142,11065,11006,10946,10926,10973,10648,10610,10636,10650,10662,10652,10653,10619,10719,10538,10492,10417,10504,10286,10449,10458,10482,10480,10502,10280,10363,10335,10310,10314,10264,10254,10248,10282,10325,10358,10361,10323,10274,10228,10208,10179,10319,10307,10312,10342,10392,10267,10447,10443,10414,10358,10328,10319,10277,10244,10256,10288,10310,10360,10357,10340,10302,10259,10229,10215,10063,10068,10049,10043,10114,10125,10124,10085,10026,9997,9988,9975,10000,9973,10031,10042,10094,10125,10124,10110,10042,10019,10004,9978,9996,9944,9964,9985,10091,10121,10120,10116,10031,10005,9979,9960,9864,9817,9826,9842,9911,9937,9954,9937,9907,9846,9821,9792,9698,9672,9692,9684,9736,9779,9785,9772,9751,9843,9656
"North Carolina : transportation","number of customers","ELEC.CUSTOMERS.NC-TRA.M",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"North Carolina : other","number of customers","ELEC.CUSTOMERS.NC-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina","number of customers","ELEC.CUSTOMERS.SC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina : all sectors","number of customers","ELEC.CUSTOMERS.SC-ALL.M",2399775,2403925,2404958,2407185,2411001,2412993,2429675,2422758,2424235,2423991,2419850,2425371,2423968,2425389,2426185,2428000,2428377,2434403,2436867,2431826,2436132,2436131,2434490,2438950,2415847,2416115,2424621,2422090,2424585,2441713,2449572,2445185,2444139,2449417,2443878,2432484,2435500,2437487,2440170,2440456,2440012,2446861,2453438,2452156,2457688,2449407,2448906,2452718,2446611,2451019,2454512,2454741,2459608,2461560,2464456,2467341,2463682,2467056,2466625,2466341,2495750,2498865,2501400,2202524,2508751,2509308,2515877,2519611,2518102,2519720,2519616,2521655,2493733,2493088,2496261,2497849,2500096,2508013,2519497,2521684,2522288,2525650,2525377,2529422,2529774,2532487,2538025,2539636,2542492,2548160,2553043,2554875,2556534,2559083,2559431,2562190,2562959,2567628,2572469,2574725,2578814,2584600,2585992,2592556,2591400,2593178,2595476,2599251,2607864,2608224,2620098,2612263,2627702,2633315,2635059,2639287,2635952,2641369,2642467,2644462,2653271,2651272,2657062,2661267,2666741,2670965,2672955,2681667,2677524,2684180,2691528,2687986,2694434,2697815,2704222,2708892,2715164,2719440,2727487,2728855,2730679,2735220,2736774,2739677,2739858,2740891,2752680,2753954,2758287,2770092,2778324,2781785,2786231,2784216,2789839
